(ii) Weekend vs. Weekday Bookings,,,,,,,,,,,,,
,,,,,,,,,,,,,
arrival_date_year,arrival_date_month,total_weekend_nights,total_week_nights,Column1,,,,,,,,,
2015,August,4080,10322,,,SQL QUERY,,,,,,,
2015,December,2482,6391,,,,,,,,,,
2015,July,2994,7744,,,,,,,,,,
2015,November,1780,5874,,,,,,,,,,
2015,October,4231,10920,,,"SELECT 
    arrival_date_year,
    arrival_date_month,
    SUM(stays_in_weekend_nights) AS total_weekend_nights,
    SUM(stays_in_week_nights) AS total_week_nights
FROM booking_details
GROUP BY arrival_date_year, arrival_date_month
ORDER BY arrival_date_year, arrival_date_month;",,,,,,,
2015,September,4883,12887,,,,,,,,,,
2016,April,4689,12669,,,,,,,,,,
2016,August,5313,14480,,,,,,,,,,
2016,December,3383,9593,,,,,,,,,,
2016,February,3183,8011,,,,,,,,,,
2016,January,1598,4563,,,,,,,,,,
2016,July,5102,12967,,,,,,,,,,
2016,June,4476,13619,,,,,,,,,,
2016,March,3965,11628,,,,,,,,,,
2016,May,4655,12921,,,,,,,,,,
2016,November,3554,10459,,,,,,,,,,
2016,October,5761,13975,,,,,,,,,,
2016,September,5016,13639,,,,,,,,,,
2017,April,5831,14146,,,,,,,,,,
2017,August,5323,14559,,,,,,,,,,
2017,February,3700,9561,,,,,,,,,,
2017,January,3023,8434,,,,,,,,,,
2017,July,6088,14810,,,,,,,,,,
2017,June,5592,15429,,,,,,,,,,
2017,March,4445,13451,,,,,,,,,,
2017,May,5599,15459,,,,,,,,,,
